id,standard,sections,pdf_pages,requirement,applicability,status,code,tests,evidence_level,finding,impact,closure
C1-066,CTVS-1,4.4; 9.6,16; 27,"Zero supply preserves residual backing under the same virtual math; no last-redeemer bonus, reset, sweep or terminal close.",profile0,aligned,reference/packages/onchain/lib/ctvs/math.ak:44; reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:188; reference/packages/onchain/lib/ctvs/state_core.ak:104,reference/implementations/ctvs1/onchain/validators/state_test.ak:249 residual_backing_remains_after_full_redemption; reference/implementations/ctvs1/onchain/validators/state_test.ak:652 integer_preview_rounding_fixture,retained_test,"The documented mint-three-for-two/redeem-three-for-one example leaves A=1,S=0. No sweep/close action is present.",This intentionally strands residual under current immutable accounting until future valid entry; it is not a code mismatch.,Add a full signed residual-then-reentry trace and the required zero-supply display status.
C1-067,CTVS-1,9.1; 9.2; 9.3; 9.5,24; 25; 27,"Worked native deposit, redemption and fee-collection examples must preserve all accounting deltas and value partitions.",informative,aligned,reference/packages/onchain/lib/ctvs/math.ak:21; reference/packages/onchain/lib/ctvs/math.ak:44; reference/packages/onchain/lib/ctvs/state_core.ak:144,reference/implementations/ctvs1/onchain/validators/state_test.ak:147 whitepaper_native_deposit_and_real_spend_handler; reference/implementations/ctvs1/onchain/validators/state_test.ak:172 whitepaper_redeem_and_fee_collection,retained_test,"The exact paper numeric sequence is represented in retained compiled fixtures; its fees/reserves are illustrative constants, not live network minima.",No arithmetic inconsistency was found between those paper examples and current kernels.,Publish separately measured actual transaction fees/min-ADA rather than reusing illustration constants.
C1-068,CTVS-1,9.1; 9.4,24; 26; 27,"ADA example must keep backing, fee liability, State reserve and receiver top-up distinct.",informative,aligned,reference/packages/onchain/lib/ctvs/ledger.ak:97; reference/implementations/ctvs1/client/src/direct.ts:68,"reference/implementations/ctvs1/onchain/validators/state_test.ak:190 whitepaper_ada_deposit_separates_reserves; reference/implementations/ctvs1/client/test/direct.property.test.ts:7 direct operations conserve underlying liabilities, supply and separately funded ADA",retained_test,The paper's ADA example is retained and property tests vary external top-ups without buying extra shares.,No reserve dilution was found.,Verify actual node minimum ADA and fee accounting with target parameters.
C1-069,CTVS-1,7.5,21,"The separate real script-controlled user acceptance target must prove funding authority, recipient usability, recovery and replacement-recipient rejection.",acceptance,unverified,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:128; reference/testing/integration/ctvs1/lifecycle.test.ts:1,,external_gate,Current direct signed fixtures use key wallets; no pinned real treasury/portfolio guard lifecycle and receiving-validator spend is provided. The paper itself says foreign-script composition is outside restricted profile 0.,"This is an open interoperability acceptance target, not grounds to weaken the direct key-input guard.",Implement and review an explicitly scoped native/extension lifecycle with real guard execution and independent construction.
C1-070,CTVS-1,12.1,35,"S1 unique live State follows only if authenticated genesis, permanent token supply and exact unique succession hold on every accepted transition.",profile0,partial,reference/packages/onchain/lib/ctvs/genesis.ak:20; reference/packages/onchain/lib/ctvs/state_core.ak:78; reference/packages/onchain/lib/ctvs/state_core.ak:185,reference/implementations/ctvs1/onchain/validators/state_test.ak:592 genesis_mints_only_permanent_identities; reference/implementations/ctvs1/onchain/validators/state_test.ak:420 rejects_wrong_mint_quantity; reference/implementations/ctvs1/onchain/validators/state_test.ak:349 rejects_wrong_sequence,retained_test,The code implements the three induction premises in separate paths and selected tests exercise them. There is no machine-checked proof that every compiled accepted transition satisfies the premises. Uniqueness does not imply liveness.,Do not promote local predicates and fixtures into a theorem about all accepted ledger histories.,Complete independent compiled-policy review and whole-history State uniqueness traces; clearly retain the theorem premises.
C1-071,CTVS-1,12.1,35,S2 S=N follows only from zero genesis shares and every nonzero mint/burn being coupled to an accounting transition with matching supply delta.,profile0,partial,reference/packages/onchain/lib/ctvs/genesis.ak:25; reference/packages/onchain/lib/ctvs/state_core.ak:72; reference/packages/onchain/lib/ctvs/state_core.ak:203,reference/implementations/ctvs1/onchain/validators/state_test.ak:608 genesis_rejects_initial_share_issuance; reference/implementations/ctvs1/onchain/validators/state_test.ak:429 rejects_wrong_mint_state_reference; reference/implementations/ctvs1/onchain/validators/state_test.ak:161 whitepaper_deposit_real_mint_handler,retained_test,The implementation has the required genesis/mint/spend coupling; no independent proof covers every compiled accepting path or whole ledger supply. Zero-net gross batch obligations are reviewed under CTVS-2.,"The conditional supply argument is supported, not mechanically proved for the implementation.",Add independent ledger supply reconciliation over mixed histories and preserve zero-net gross checks in the async review.
C1-072,CTVS-1,12.2,35,Ownership conservation combines action value equations with correct complete destination allocation; ledger balance alone is insufficient.,profile0,aligned,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:79; reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:86; reference/packages/onchain/lib/ctvs/state_core.ak:144; reference/packages/onchain/lib/ctvs/ledger.ak:67,docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 independent conservation and acceptance oracle; reference/implementations/ctvs1/onchain/validators/state_test.ak:283 rejects_wrong_receiver; reference/implementations/ctvs1/onchain/validators/state_test.ak:359 rejects_reused_state_payment_index,executed_probe,"Per-action equations, fixed payout matching and distinct allocation are implemented and independently probed over bounded direct cases. Predicate composition and arbitrary histories are not formally proved.",The algebra is not treated as a substitute for recipient or ledger checks.,Retain independent bounded economic probes plus balanced recipient/allocation negative transactions.
C1-073,CTVS-1,12.3,35; 36,"Under a valid transition and positive adjusted denominators, rounding must not lower the adjusted A+1 over S+Vs price for deposit, mint, withdraw or redeem.",profile0,aligned,reference/packages/onchain/lib/ctvs/math.ak:21; reference/packages/onchain/lib/ctvs/math.ak:27; reference/packages/onchain/lib/ctvs/math.ak:33; reference/packages/onchain/lib/ctvs/math.ak:44,docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:50 exact cross-multiplication of old and successor adjusted prices; reference/packages/onchain/lib/tests/math_properties.ak:64 deposit_quote_preserves_gross_assets_and_rounds_against_dilution; reference/packages/onchain/lib/tests/math_properties.ak:135 exact_share_mint_requires_sufficient_backing_increase; reference/packages/onchain/lib/tests/math_properties.ak:147 exact_asset_withdrawal_requires_sufficient_share_extinction,executed_probe,"Fresh independent probes compare adjusted prices by exact cross multiplication on each accepted direct transition, including ceiling operations. Positive virtual shares make feasible successor denominators positive.","This concerns the specified adjusted pricing convention, not external NAV truth, investment returns or loss handling.",Keep explicit premises and extend independently authored reachable-state vectors; bounded checks are not an unbounded proof.
C1-074,CTVS-1,12.4,36,An immediate isolated deposit/redeem round trip at unchanged valuation returns gross at most admitted net backing and net at most original gross deposit.,profile0,aligned,reference/packages/onchain/lib/ctvs/math.ak:21; reference/packages/onchain/lib/ctvs/math.ak:44; reference/packages/protocol/src/math/quotes.ts:65; reference/packages/protocol/src/math/quotes.ts:83,docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:54 immediate deposit/redeem gross and net bounds; reference/packages/onchain/lib/tests/math_properties.ak:98 deposit_then_redeem_new_shares_cannot_extract_profit; reference/packages/protocol/tests/math.property.test.ts:72 deposit followed by redeem cannot return more assets than were paid,executed_probe,"Fresh probes quote redemption from the actual deposit successor and compare against admitted and original quantities. No strategy P&L, external subsidies, rewards or checkpoint change is introduced.",The bounded result does not establish absence of authorization attacks or any return claim across external state changes.,Retain exclusions and independent round-trip vectors; formalize complete state-machine assumptions before claiming broader no-profit properties.
C1-075,CTVS-1,12.5,36,Role-safety argument requires actual protected asset identity inspection before any untrusted datum selects a request/refund role.,profile0,partial,reference/implementations/ctvs1/onchain/validators/vault.ak:23; reference/implementations/ctvs1/onchain/validators/vault.ak:31,reference/implementations/ctvs1/onchain/validators/state_test.ak:557 state_identity_cannot_take_request_refund_handler,retained_test,The direct entrypoint requires exactly one STATE before decoding StateSpend and has no request/refund branch. Selected compiled rejection supports the premise; generic role proof and all quantity/identity counterexamples belong to the wire/identity review.,The direct specialization cannot rescue arbitrary request-shaped outputs at its script; it does not implement the general async request branch.,Retain role-before-dispatch review and token quantity/ID misuse negative corpus; do not transfer evidence between family variants.
C1-076,CTVS-1,12.5,36,"Equivalent accepted CBOR spellings must have identical semantic interpretation, and Terms commitment must use the named validated-Data serialization rather than signed transaction bytes.",acceptance,unverified,reference/packages/onchain/lib/ctvs/validation.ak:205; reference/packages/protocol/src/data/codec.ts:1,reference/packages/onchain/lib/tests/validation_test.ak:419 terms_builtin_serialization_and_hash_match_client_fixture,external_gate,"The named serialization/commitment path and a builtin/client fixture exist, but this economics pass does not prove general decoder equivalence. Detailed byte and original-bundle reconciliation is owned by the wire review.",Agreement of local writers is not an independent proof and cannot establish equivalence for every accepted byte spelling.,Use the wire reviewer manifest and adversarial dual-decoder probes; complete original fixture-bundle and independent implementation reconciliation.
C2-001,CTVS-2,1.2; 2.3; 2.4,50; 51; 52,Reuse the shared economics while allowing asynchronous-only entry and exit independently.,profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/state.ak:9; reference/packages/planning/src/context.ts:25,reference/implementations/ctvs2/onchain/validators/state_test.ak:222 (ctvs2_genesis_and_real_mint_handler_accept_async_terms),retained_test,"Async-only modes 4, 8, 12 are implemented with shared accounting.",,Retain one signed lifecycle for each single-direction mode; current signed fixtures use both directions.
C2-002,CTVS-2,2.4,52,Reference mode bits can express the advertised enabled directions; do not silently ignore bits.,profile0,narrowed,reference/implementations/ctvs2/onchain/lib/ctvs2/state.ak:9; reference/packages/planning/src/context.ts:44,reference/implementations/ctvs2/onchain/validators/state_test.ak:240 (ctvs2_genesis_rejects_direct_and_mixed_modes),retained_test,CTVS-2 rejects every direct or mixed direct/async mask despite the shared wire allowing 1..15. This is an explicit family subset.,One vault cannot support direct entry with async exit or another mixed mode combination.,Document the supported subset in conformance claims or separately implement mixed modes.
C2-003,CTVS-2,2.1; 4.4,51; 58,"Keep funding owner, controller, receiver, settler and pauser as separate powers.",profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:49; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:71; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:270; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:418; reference/packages/onchain/lib/ctvs/state_core.ak:157,reference/implementations/ctvs2/onchain/lib/ctvs2/async.test.ak:124 (cancellation_requires_controller_signatory); reference/testing/integration/ctvs2/guards.test.ts:9 (rejects rewritten Claim recipients and missing settler authorization),retained_test,Distinct keys/destinations are enforced by their respective branches; controller is not assumed to be receiver.,,Add a full signed trace using five distinct roles; existing fixtures reuse some keys.
C2-004,CTVS-2,2.2; 2.4,51; 52,Support immutable open-signing-key and sorted authorized-key-set settlement policies.,profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:418; reference/packages/onchain/lib/ctvs/validation.ak:169,reference/implementations/ctvs2/onchain/lib/ctvs2/async.test.ak:573 (settler_keyset_is_enforced),retained_test,AnySettler accepts a signing reward key; KeySet additionally checks immutable membership.,,Add signed success with an authorized key and signed rejection with an unauthorized key under KeySet.
C2-005,CTVS-2,2.4; 14.4,52; 81,"Require explicit reward-key signatory membership, including zero-fee batches, with actual ledger witnesses separately checked.",profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:418; reference/implementations/ctvs2/client/src/batch.ts:142; reference/testing/ledger/recorder.ts:86,reference/implementations/ctvs2/onchain/lib/ctvs2/async.test.ak:442 (batch_requires_settler_explicit_signature_even_for_zero_reward); reference/testing/integration/ctvs2/guards.test.ts:9 (rejects rewritten Claim recipients and missing settler authorization),retained_test,Explicit signatories and actual signature witnesses are distinct checks.,,Retain signed zero-reward authorization coverage in addition to predicate coverage.
C2-006,CTVS-2,2.4,52,"Authorized-key identity depends on credential bytes, not the textual spelling of hexadecimal.",profile0,contradiction,reference/implementations/ctvs2/client/src/batch.ts:54; reference/implementations/ctvs2/client/src/batch.ts:55; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:421,docs/reviews/2026-09-18-whitepaper-conformance/probes/c2-client-boundaries.ts:22 (settler hex normalization),executed_probe,The SDK encodes lower/uppercase keys identically but compares KeySet membership using case-sensitive string includes. Uppercase spelling of an authorized key is falsely rejected.,An otherwise permitted batch cannot be planned for semantically identical authorized key bytes.,"Normalize byte identities before membership checks and retain a lowercase/uppercase regression. This is an SDK false rejection, not a custody bypass."
C2-007,CTVS-2,2.3; 4.2,51; 52; 56,"Profile 0 supports exact gross-asset deposits and exact-share redemptions, full fill only.",profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:210; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:281; reference/packages/protocol/src/wire/requests.ts:45,reference/implementations/ctvs2/client/test/requests-batch.test.ts:29 (port: creation records a funded candidate without State spend or self-reference),retained_test,Only the two request kinds are decoded; quoted offered quantity must equal actual escrow value.,,Add compiled rejection for an attempted partial-fill remainder output with altered claimed quantities.
C2-008,CTVS-2,3.1; 13.1,53; 78,"The chain consumption of a request selects settlement, cancellation or expiry, and consumption of a claim selects delivery.",profile0,aligned,reference/implementations/ctvs2/onchain/validators/vault.ak:19; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:87; reference/implementations/ctvs2/onchain/lib/ctvs2/claim.ak:69,reference/testing/integration/ctvs2/lifecycle.test.ts:42 (recovers unsupported economics with controller cancellation and permissionless expiry),retained_test,Branches are tied to actual spending-purpose references; no offchain selection authority exists.,,Add same-request cancellation-versus-settlement competing transaction traces on a ledger.
C2-009,CTVS-2,3.2; 4.1,53; 56,Creating a deposit Request must not change backing or supply.,profile0,aligned,reference/implementations/ctvs2/client/src/requests.ts:28; reference/implementations/ctvs2/client/src/requests.ts:30; reference/implementations/ctvs2/client/src/requests.ts:42,reference/implementations/ctvs2/client/test/requests-batch.test.ts:29 (port: creation records a funded candidate without State spend or self-reference),retained_test,Creation has no State input and no mint; it funds a separate output and labels pending deposit participation.,,"Add a signed explicit before/after State read for ordinary request creation, rather than inferring from transaction shape."
C2-010,CTVS-2,3.2; 13.2,53; 78,"Deposit settlement admits net underlying, accrues fee and issues already-participating shares to a funded Claim.",profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:225; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:260; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:470,reference/testing/integration/ctvs2/lifecycle.test.ts:14 (settles deposits and redemptions into authenticated funded Claims),retained_test,"The participation cutover is encoded by State and mint changes during Batch, not delivery.",,Add a signed delayed-delivery trace across an intervening independent State transition.
C2-011,CTVS-2,3.3; 4.1,54; 56,Redemption request creation locks existing participating shares without burning or reducing supply.,profile0,aligned,reference/implementations/ctvs2/client/src/requests.ts:30; reference/implementations/ctvs2/client/src/requests.ts:45; reference/packages/planning/src/value.ts:24,reference/implementations/ctvs2/client/test/requests-batch.test.ts:29 (port: creation records a funded candidate without State spend or self-reference),retained_test,The planner locks SHARE and carries its participation label; mint is empty.,,Add signed request-creation assertions proving supply remains unchanged before settlement.
C2-012,CTVS-2,3.3; 13.2,54; 78,Redemption settlement extinguishes shares and fixes a funded net-asset claim outside remaining backing.,profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:236; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:247; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:476,reference/testing/integration/ctvs2/lifecycle.test.ts:14 (settles deposits and redemptions into authenticated funded Claims),retained_test,"State debits gross assets, fee accrues, claim contains net underlying and supply burns at settlement.",,Add a signed delayed-redemption-claim delivery across later vault activity.
C2-013,CTVS-2,3.2; 3.3; 7.3,53; 54; 63,"Delivery only relocates property and must not reprice, mint or consume accounting State.",profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/claim.ak:96; reference/implementations/ctvs2/onchain/lib/ctvs2/claim.ak:98; reference/implementations/ctvs2/client/src/delivery.ts:29,reference/implementations/ctvs2/onchain/validators/claim_test.ak:98 (delivers_all_actual_assets_across_vaults_without_state_or_config); reference/implementations/ctvs2/onchain/validators/claim_test.ak:205 (delivery_cannot_mint_even_unrelated_assets),retained_test,Q reads claim inputs and fixed destinations; no live vault data or conversion is referenced.,,No contract change identified; separately obtain node-backed acceptance.
C2-014,CTVS-2,3.4; 7.1,55; 63,Legitimate settlement claims must hold the exact promised asset and quantity plus positive carried ADA.,profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:288; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:297,reference/implementations/ctvs2/onchain/lib/ctvs2/async.test.ak:454 (batch_rejects_missing_gross_claim_when_net_mint_is_zero),retained_test,Claim datum and complete Value are exact outputs derived from economics.,,"Add independent compiled negative vectors for wrong asset, one-unit economic underpayment, one-unit ADA deficit and unexplained creation surplus."
C2-015,CTVS-2,3.5,55,"Economic-history verification must include balances, supply, fees and claim quantities rather than phase labels alone.",profile0,partial,reference/implementations/ctvs2/client/src/settlement.ts:66; reference/implementations/ctvs2/client/src/batch.ts:76,docs/reviews/2026-09-18-whitepaper-conformance/probes/c2-semantic-examples.ts:39 (section 3.5 economic histories),executed_probe,Both printed histories reproduce their distinct arithmetic outcomes. No full state-space lifecycle model or independent reachable-history explorer is present.,Phase-correct traces do not establish arbitrary economic-history correctness.,Retain an economic-state model and compare full traces; prove chosen initial states reachable for each implementation family.
C2-016,CTVS-2,3.6,55,"Do not put authoritative pending queue counts in independently updated State, or close/sweep merely because supply is zero.",profile0,aligned,reference/packages/onchain/lib/ctvs/wire.ak:70; reference/implementations/ctvs2/onchain/lib/ctvs2/state.ak:13,reference/implementations/ctvs2/onchain/validators/state_test.ak:298 (ctvs2_state_handler_rejects_all_direct_action_tags),retained_test,"State has fixed accounting fields and no queue count or close action. This cited test establishes family dispatch only, not an async residual lifecycle.",,Add async last-redemption/residual rebootstrap and unsupported close-action regressions.
C2-017,CTVS-2,4.1,56,"Request identity is the originating output reference learned after construction, not a self-referential datum transaction hash.",profile0,aligned,reference/implementations/ctvs2/client/src/requests.ts:13; reference/implementations/ctvs2/client/src/requests.ts:47; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:265,reference/implementations/ctvs2/client/test/requests-batch.test.ts:29 (port: creation records a funded candidate without State spend or self-reference),retained_test,"Identity remains external until construction, then Batch commits predecessor references.",,Keep authenticity and indexing requirements distinct from this representation check.
C2-018,CTVS-2,4.1; 3.6,55; 56,"Candidate creation is not authenticated controller origination, capacity reservation or admission; no request NFT is required.",profile0,aligned,reference/implementations/ctvs2/client/src/requests.ts:14; reference/implementations/ctvs2/client/src/requests.ts:46; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:167,reference/implementations/ctvs2/client/test/requests-batch.test.ts:29 (port: creation records a funded candidate without State spend or self-reference),retained_test,Planner explicitly labels candidate attribution and settlement validates the consumed output. No NFT is added.,,Provider disclosure and authenticated origin views remain the separate integration review.
C2-019,CTVS-2,4.2; 8.1; 13.6,56; 66; 79,"Dispatch through supported Recovery before downcasting economic_body, including unknown economics and oversized settlement bodies.",profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:85; reference/packages/onchain/lib/ctvs/decode.ak:104,reference/implementations/ctvs2/onchain/validators/lifecycle_test.ak:137 (actual_vault_cancel_dispatch_recovers_unsupported_oversized_body_and_surplus); reference/implementations/ctvs2/onchain/lib/ctvs2/async.test.ak:118 (cancellation_does_not_decode_bad_success_receiver_or_fee_budget),retained_test,Economic_body remains raw Data for Cancel and ExpiryRefund.,,"Add a property over arbitrary raw bodies at the actual vault endpoint, bounded only by transaction feasibility."
C2-020,CTVS-2,4.2; 8.1,56; 66,"Unknown outer version, malformed recovery, invalid refund or unsupported controller is not promised recovery.",profile0,aligned,reference/implementations/ctvs2/onchain/validators/vault.ak:56; reference/packages/onchain/lib/ctvs/validation.ak:262,reference/implementations/ctvs2/onchain/validators/lifecycle_test.ak:167 (actual_vault_cancel_rejects_unknown_outer_version),retained_test,Exact Recovery decoding and destination validation fail closed; unknown version has actual endpoint coverage.,,"Add actual endpoint regressions for malformed controller, malformed refund and wrong recovery arity, beyond codec tests."
C2-021,CTVS-2,4.2; 5.6,56; 60,"Settlement must check vault, Terms, direction, positive input/minimum, funding, budget and full completion.",profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:174; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:194; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:275,"reference/implementations/ctvs2/client/test/requests-batch.test.ts:186 (eligibility rejects expired, underfunded, wrong-terms and sub-minimum requests); reference/implementations/ctvs2/onchain/lib/ctvs2/async.test.ak:590 (unsupported_economics_are_rejected_by_batch_single_decode)",retained_test,All predicates appear in the covered-request path; a supported Recovery alone cannot authorize settlement.,,Expand compiled negative cases for each predicate independently; current SDK negatives are not compiled evidence.
C2-022,CTVS-2,4.3,57,"Native deposits contain exactly offered underlying and storage plus execution budget, with no other native asset.",profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:281; reference/packages/planning/src/value.ts:24,reference/testing/integration/ctvs2/lifecycle.test.ts:14 (settles deposits and redemptions into authenticated funded Claims),retained_test,Closed request Value is compared exactly for native deposits.,,Add compiled extra-asset and one-unit underfunding negatives for native deposit requests.
C2-023,CTVS-2,4.3,57,"ADA deposits contain offered ADA plus storage plus execution budget, without counting reserves as backing.",profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:178; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:281; reference/packages/onchain/lib/ctvs/ledger.ak:89,reference/testing/integration/ctvs2/lifecycle.test.ts:14 (settles deposits and redemptions into authenticated funded Claims),retained_test,ADA components are summed into physical value while pricing only body.offered.,,Add compiled reserve-as-economic-input and combined-ADA overflow negatives.
C2-024,CTVS-2,4.3,57,Redemption escrow contains exact pre-existing SHARE and storage plus budget.,profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:245; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:281,reference/testing/integration/ctvs2/lifecycle.test.ts:14 (settles deposits and redemptions into authenticated funded Claims),retained_test,Economic input asset is policy SHARE and quantity is the full offered amount.,,Add compiled wrong-SHARE-policy/name and surplus-SHARE request cases.
C2-025,CTVS-2,4.3; 7.1,57; 63,Carry storage plus unused execution budget minus exact fee plus external top-up to the successful receiver through Claim.,profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:260; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:271,"reference/implementations/ctvs2/onchain/lib/ctvs2/async.test.ak:430 (external_claim_topup_is_carried_without_buying_shares); reference/implementations/ctvs2/client/test/requests-batch.test.ts:66 (port: per-request fee, carried ADA, reward signer and both acknowledgment links)",retained_test,Carried amount is explicit in Claim and its exact physical Value.,,"Add a compiled theft case that lowers carried ADA while raising settler reward, with balanced aggregate value."
C2-026,CTVS-2,4.3; 14.1,57; 58; 80,The exact per-request settler fee cannot exceed budget or be chosen by the executor.,profile0,aligned,reference/packages/onchain/lib/ctvs/validation.ak:280; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:232; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:466,"reference/implementations/ctvs2/client/test/requests-batch.test.ts:66 (port: per-request fee, carried ADA, reward signer and both acknowledgment links)",retained_test,The fee comes only from immutable RequestBody and is summed per request.,,Add compiled invalid-budget and fee-increase attempts with otherwise valid transaction allocations.
C2-027,CTVS-2,4.4,58,"Controller cancellation requires the committed key, which may differ from owner and receiver.",profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:49; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:71,reference/implementations/ctvs2/onchain/lib/ctvs2/async.test.ak:124 (cancellation_requires_controller_signatory),retained_test,The controller is read from Recovery; refund is independently fixed.,,"Add signed cancellation with distinct funding, controller and refund keys plus absent-controller rejection."
C2-028,CTVS-2,4.5; 3.6,55; 58,Protected STATE/ID assets select or reject State dispatch before untrusted Request data can route custody to refund.,profile0,aligned,reference/implementations/ctvs2/onchain/validators/vault.ak:31; reference/implementations/ctvs2/onchain/validators/vault.ak:34; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:57,reference/implementations/ctvs2/onchain/lib/ctvs2/async.test.ak:190 (request_shaped_state_cannot_use_recovery),retained_test,Actual input tokens precede Request decoding; State quantity must be exactly one.,,"Add actual vault-endpoint tests for request-shaped STATE and unexpected ID, rather than only direct recovery helper."
C2-029,CTVS-2,4.5,58,Reject attached reference scripts on protected Request and Claim inputs and created outputs.,profile0,aligned,reference/implementations/ctvs2/onchain/validators/vault.ak:29; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:196; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:296; reference/implementations/ctvs2/onchain/lib/ctvs2/claim.ak:53,reference/implementations/ctvs2/onchain/validators/claim_test.ak:240 (reference_script_on_delivery_output_is_rejected),retained_test,Every protected path has an explicit None reference-script condition.,,"Retain separate negative tests on source Request, source Claim and created Claim, not only delivery output."
C2-030,CTVS-2,4.5; 8.1,58; 66,Extra request assets invalidate settlement but all actual assets remain preserved by supported recovery.,profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:281; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:74,reference/implementations/ctvs2/onchain/lib/ctvs2/async.test.ak:135 (cancellation_preserves_unexpected_asset); reference/implementations/ctvs2/onchain/validators/lifecycle_test.ak:137 (actual_vault_cancel_dispatch_recovers_unsupported_oversized_body_and_surplus),retained_test,Settlement uses exact Value equality; refund uses a pointwise lower bound across source assets.,,Add one paired compiled fixture that fails settlement due only to surplus and succeeds recovery unchanged.
C2-031,CTVS-2,5.1,58,"Price every covered request against the same authenticated pre-settlement State, not a sequentially updated balance.",profile0,aligned,reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:215; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:238; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:351,reference/implementations/ctvs2/onchain/lib/ctvs2/async.test.ak:417 (mixed_batch_uses_one_old_snapshot_despite_rounding); reference/implementations/ctvs2/client/test/settlement.property.test.ts:8 (batch permutations keep one snapshot and allocate every request exactly once),retained_test,old State and immutable Terms are reused through all entries.,,Add a balanced signed mixed deposit/redemption batch with rounding-sensitive quantities.
C2-032,CTVS-2,5.1,58,Deposit fees round up on gross input and issued shares round down on net assets using authenticated virtual balances.,profile0,aligned,reference/packages/onchain/lib/ctvs/math.ak:17; reference/packages/onchain/lib/ctvs/math.ak:21; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:215,reference/packages/onchain/lib/tests/math_properties.ak:64 (deposit_quote_preserves_gross_assets_and_rounds_against_dilution),retained_test,Code implements ceil(d*b/(10000+b)) then floor((d-fee)*(S+Vs)/(A+1)).,,Preserve independently expected edge vectors including rates 0 and 9999 and minimal positive outcomes.
C2-033,CTVS-2,5.1,59,"Redemption gross assets round down, fees round up on gross assets and payout is gross less fee.",profile0,aligned,reference/packages/onchain/lib/ctvs/math.ak:44; reference/implementations/ctvs2/onchain/lib/ctvs2/async.ak:238,reference/packages/onchain/lib/tests/math_properties.ak:80 (redeem_quote_preserves_gross_assets_and_never_debits_more_than_backing),retained_test,Code implements the printed floor and ceiling formula.,,Retain independently expected edge vectors across virtual-share magnitudes and fee boundaries.
